Test Date,Nest,Treatment,Diver,EggScore,EggStage,RAMP,StartTime,Gone,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,FanCount,FanPerc,FanProp,GuardCount,GuardPerc,GuardProp,ChaseCount,ChasePerc,ChaseProp,ReturnCount,ReturnPerc,ReturnProp,AbsentCount,AbsentPerc,AbsentProp,PredCount,FishChase,DiverChase,Jar,Notes
14/05/2022,38,PES,Connor,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing data - fish gone and not written in
17/05/2022,39,TENS Control,Connor,3,E,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fish gone
13/05/2022,40,Angled Control,Connor,3,E,5,10:56,0,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,19,90.47619048,0.904761905,2,9.523809524,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,13,
14/05/2022,41,PES,Jamie,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fish gone
20/05/2022,42,TMS,Laura,3,E,4,10:20,0,F,G,G,G,F,F,F,F,F,G,G,G,F,F,G,G,F,G,G,G,G,9,42.85714286,0.428571429,12,57.14285714,0.571428571,0,0,0,0,0,0,0,0,0,0,3,0,19,
18/05/2022,43,TMS,Laura,3,E,3,15:42,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
18/05/2022,44,PES,Laura,3,E,1,14:15,0,G,G,G,F,A,A,A,A,G,G,F,G,G,G,G,A,G,F,G,G,F,4,19.04761905,0.190476191,12,57.14285714,0.571428571,0,0,0,0,0,0,5,23.80952381,0.238095238,0,0,0,9,"Fish didn't stay on nest during behaviours, swam in circles ~7 ft. away"
16/05/2022,45,PES,Connor,3,E,3,10:22,0,G,G,G,G,G,G,G,G,G,F,G,G,G,G,G,G,C,A,A,R,F,2,9.523809524,0.095238095,15,71.42857143,0.714285714,1,4.761904762,0.047619048,1,4.761904762,0.047619048,2,9.523809524,0.095238095,0,0,0,16,
16/05/2022,46,TMS Control,Connor,4,E,5,11:44,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Some Saprolegnia on nest
21/05/2022,47,TENS Control,Sam,3,E,4,01:22,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
20/05/2022,48,TENS Control,Connor,5,E,4,10:06,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
20/05/2022,49,TMS,Laura,3,E,4,09:52,0,F,F,F,G,G,F,F,G,F,G,G,G,G,F,F,F,F,F,F,F,F,14,66.66666667,0.666666667,7,33.33333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,36,
14/05/2022,50,TENS,Laura,3,E,5,10:25,0,G,G,F,G,G,G,F,G,F,G,F,G,G,G,G,F,G,G,F,G,G,6,28.57142857,0.285714286,15,71.42857143,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,31,Fish chased off other predators during jar test
