Tag,Treatment,InitialScore,24hScore,ScoreDiff,Date1,AbandonDate,PreCold,ColdAbandon,EarlyAbandon,Check,Status,Abandon,Success
106,TENS Control,5,5,0,19/05/2022,NA,N,0,0,6,0,0,1
107,TMS,3,4,1,21/05/2022,NA,N,0,0,6,0,0,1
109,TENS Control,3,3,0,20/05/2022,NA,N,0,0,6,0,0,1
110,Angled Control,4,4,0,16/05/2022,NA,Y,0,0,6,0,0,1
111,PES,3,4,1,16/05/2022,NA,Y,0,0,6,0,0,1
112,PES,4,3,-1,14/05/2022,19/05/2022,Y,1,1,2,1,1,0
114,TENS Control,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
115,PES,3,2,-1,18/05/2022,NA,N,0,0,6,0,0,1
117,TENS Control,3,3,0,16/05/2022,NA,Y,0,0,6,0,0,1
119,PES,3,3,0,21/05/2022,NA,N,0,0,6,0,0,1
120,TENS Control,3,4,1,18/05/2022,NA,N,0,0,6,0,0,1
147,TMS Control,4,3,-1,21/05/2022,NA,N,0,0,6,0,0,1
154,Angled Control,3,3,0,21/05/2022,NA,N,0,0,6,0,0,1
320,TENS,3,3,0,21/05/2022,NA,N,0,0,6,0,0,1
321,TMS Control,3,3,0,21/05/2022,NA,N,0,0,6,0,0,1
322,TMS,3,3,0,21/05/2022,26/05/2022,N,0,1,2,1,1,0
333,Angled Control,3,3,0,21/05/2022,31/05/2022,N,0,1,3,1,1,0
363,TMS,3,3,0,21/05/2022,NA,N,0,0,6,0,0,1
088a,TENS,3,4,1,20/05/2022,NA,N,0,0,6,0,0,1
M123,TMS Control,3,3,0,20/05/2022,NA,N,0,0,6,0,0,1
M166,PES,4,5,1,20/05/2022,NA,N,0,0,6,0,0,1
