ColOrder,Date,Fish,FL,Mass,Treatment,Tank,Temperature,Time,Rheo1,XSwimTime,SwimTime,SwimStarts,Turns,DirectionChanges,Upstreams,Downstreams,EdgeCount,OuterCount,InnerCount,PosCount,NeuCount,NegCount,Surfaces,Notes
48,11/04/2024,45,249,76.7,Handling,6,14.3,15:01:34,Positive,01:08,68,3,8,13,0,-21,60,0,0,49,7,4,12,
49,12/04/2024,46,222,60,Clove oil,5,14.4,08:46:44,Positive,00:12,12,2,0,3,0,-10,13,37,10,48,12,0,0,
51,12/04/2024,47,215,52,Handling,7,14.3,09:14:12,Negative,03:12,192,12,8,20,9,-13,47,10,3,47,11,2,19,
52,12/04/2024,48,229,62.6,TENS,9,14.4,09:31:18,Positive,02:18,138,3,17,18,6,-13,60,0,0,51,2,7,15,
53,12/04/2024,49,234,67.6,TENS,4,14.3,09:48:28,Positive,01:06,66,7,0,3,2,0,49,10,1,57,3,0,4,
54,12/04/2024,50,210,47.2,Clove oil,6,14.3,10:14:59,Negative,00:14,14,1,0,1,0,-1,45,15,0,59,1,0,2,
55,12/04/2024,51,212,46.8,MS-222,8,14.3,10:33:26,Positive,02:58,178,19,0,16,5,-4,51,8,1,49,11,0,13,
56,12/04/2024,52,239,77.6,Handling,10,14.3,10:49:05,Negative,01:44,104,3,0,7,3,-6,58,1,1,55,5,0,15,
57,12/04/2024,53,228,69.2,MS-222,12,14.3,11:16:29,Negative,00:04,4,1,0,3,0,-2,0,0,60,21,38,1,0,
58,12/04/2024,54,244,78.3,MS-222,9,14.3,11:39:07,Negative,00:41,41,4,0,11,2,-2,0,8,52,22,37,1,0,
59,12/04/2024,55,284,96.2,TENS,7,NA,12:38:27,Negative,01:54,114,7,0,1,15,0,59,1,0,59,1,0,0,
61,12/04/2024,56,240,73.7,Handling,6,14.3,14:08:12,Positive,00:32,32,2,0,2,3,0,57,1,2,59,1,0,1,
62,12/04/2024,57,234,68.8,Clove oil,8,14.4,15:10:18,Positive,01:58,118,3,0,0,6,-10,44,9,7,60,0,0,0,
64,13/04/2024,58,247,80.5,Clove oil,5,14.4,08:52:52,Negative,03:32,212,7,0,3,16,-6,33,12,15,54,4,2,0,
66,13/04/2024,59,240,73.5,MS-222,7,14.4,09:34:05,Negative,03:41,221,5,3,9,9,-11,48,11,1,50,6,4,8,
67,13/04/2024,60,215,55,TENS,9,14.4,09:50:51,Positive,01:53,113,8,14,22,2,-22,56,3,1,46,7,7,12,
68,13/04/2024,61,210,51.8,Handling,4,14.3,10:04:44,Negative,01:15,75,5,4,11,4,-10,22,18,20,45,13,2,7,
69,13/04/2024,62,236,72.3,Clove oil,6,14.3,10:27:18,Negative,01:03,63,7,0,1,3,-1,57,2,1,58,2,0,0,
70,13/04/2024,63,238,72.3,Handling,8,14.3,10:49:50,Positive,02:55,175,3,12,16,12,-12,46,9,5,49,9,2,14,
71,13/04/2024,64,234,66,Clove oil,10,14.3,11:14:30,Negative,01:49,109,12,0,1,1,-1,57,3,0,59,1,0,0,
72,13/04/2024,65,217,57.7,TENS,12,NA,11:30:15,Negative,02:55,175,6,6,11,30,-5,49,6,5,54,4,2,22,
73,13/04/2024,66,238,65.4,Handling,5,14.4,11:43:21,Negative,02:19,139,11,22,24,2,-30,59,1,0,46,9,5,15,
75,13/04/2024,67,235,64.8,MS-222,4,NA,13:42:09,Negative,02:35,155,12,2,9,7,-7,56,2,2,51,9,0,11,
