Date,FishID,TL,FL,Mass,Treatment,Time,Glucose,Lactate,LacDetect,Cortisol,CV,Plate
14/04/2024,76,295,256,86.5,Clove oil,4,2.9,LO,0,0.358980737,1.250783388,1
14/04/2024,77,249,218,55.4,TENS,0.5,3.2,0.6,1,93.14550368,2.860207205,1
14/04/2024,78,275,238,65.9,Clove oil,0.5,3,LO,0,32.76378974,0.131530279,1
14/04/2024,79,258,225,59.9,Handling,2,2.7,LO,0,8.727082945,1.252937958,1
14/04/2024,80,248,214,57.5,MS-222,2,2.6,LO,0,2.705291152,0.831061755,2
14/04/2024,81,261,230,62,Handling,0.5,2.2,LO,0,41.70683422,4.021785633,4
15/04/2024,82,247,217,53.9,TENS,2,3.3,LO,0,9.49572922,5.53815255,2
15/04/2024,83,255,221,55,Handling,0.5,3.9,LO,0,49.30270295,4.140678524,1
15/04/2024,84,246,213,50.3,Clove oil,4,2.7,LO,0,4.091104699,2.245200252,1
15/04/2024,85,254,219,52.4,MS-222,0.5,3.1,LO,0,2.473035424,0.200578047,2
15/04/2024,86,237,205,47.9,TENS,4,3.6,LO,0,35.17843959,2.948903703,4
15/04/2024,87,252,218,48.6,MS-222,2,4,LO,0,0.239377824,9.922275876,3
15/04/2024,88,249,218,58.1,MS-222,4,2.1,LO,0,0.327485779,1.768226365,1
15/04/2024,89,237,208,50.3,Handling,4,3.3,LO,0,0.649642459,5.389806438,2
15/04/2024,90,274,239,70.1,Clove oil,2,3.8,0.3,1,0.970692454,0.94548407,4
15/04/2024,91,268,233,69.7,Handling,2,2.8,LO,0,5.400453221,2.474112977,4
15/04/2024,92,256,221,55.9,Clove oil,0.5,3.8,0.5,1,9.184882544,0.399610545,1
15/04/2024,93,293,250,82.9,TENS,0.5,2.7,0.8,1,92.73221114,0.791242202,1
16/04/2024,94,286,247,75.5,Handling,2,3.6,LO,0,11.80686614,1.675628046,4
16/04/2024,95,290,251,84.6,Clove oil,4,4.8,LO,0,1.718799795,2.619388635,4
16/04/2024,96,255,223,56.7,Handling,0.5,4.7,LO,0,37.38093172,4.294000299,1
16/04/2024,97,254,220,57.2,TENS,4,4.3,LO,0,2.430425779,0.91631187,1
16/04/2024,98,247,214,52.7,Clove oil,0.5,4.6,LO,0,27.14506509,4.231223101,4
16/04/2024,99,251,218,55.6,Handling,4,4.2,LO,0,25.3371456,5.980050893,3
16/04/2024,100,262,228,57.4,TENS,2,4,0.5,1,1.841947809,0.104695335,1
16/04/2024,101,261,224,58.5,MS-222,4,4.2,LO,0,0.505947698,2.837156838,1
16/04/2024,102,271,234,65.8,MS-222,2,3.4,LO,0,3.63573518,7.22830201,2
16/04/2024,103,252,220,51.5,Clove oil,2,3.6,LO,0,0.871937168,1.918794243,1
16/04/2024,104,242,210,45.2,TENS,0.5,4,0.5,1,83.76439554,1.820064254,2
16/04/2024,105,280,245,73.3,MS-222,0.5,4.9,0.3,1,10.94165588,10.5570393,2
13/04/2024,BP10,261,233,67,PBaseline,0,2.8,LO,0,0.661893332,4.616019289,1
14/04/2024,BP11,259,226,65.2,PBaseline,0,2.5,LO,0,2.078212107,7.028184947,3
14/04/2024,BP12,265,233,68.7,PBaseline,0,2.3,LO,0,0.146288368,1.137862843,2
15/04/2024,BP13,256,223,56,PBaseline,0,3.1,LO,0,0.144250509,8.909844431,3
16/04/2024,BP14,242,211,47.5,PBaseline,0,3.8,LO,0,0.34844104,0.779346177,3
16/04/2024,BP15,255,223,63.6,PBaseline,0,4.9,LO,0,0.347418564,5.243679922,2
09/04/2024,BP4,246,213,51.6,PBaseline,0,3.6,LO,0,0.185889458,1.15568575,2
09/04/2024,BP5,275,243,81.2,PBaseline,0,2.5,LO,0,1.878285517,13.89894562,3
11/04/2024,BP6,288,253,95.3,PBaseline,0,3.7,LO,0,2.533494354,13.06045591,3
11/04/2024,BP7,274,234,68.4,PBaseline,0,3.3,LO,0,3.519171654,8.402292127,2
12/04/2024,BP8,291,256,93.3,PBaseline,0,4.1,0.4,1,12.88290088,1.149472783,3
12/04/2024,BP9,275,239,64.6,PBaseline,0,3.1,LO,0,1.682724382,0.597039635,2
