Tag ID,Timestamp,X,Y,Z,Temp. (°C),Press. (mBar)
198,10-03-2024 15:39:16.000,-0.06252,-1.00032,0.06252,8.31,0.18
198,10-03-2024 15:39:16.040,-0.06502,-1.00032,-0.005,,
198,10-03-2024 15:39:16.080,-0.12504,-1.00532,-0.12504,,
198,10-03-2024 15:39:16.120,-0.11754,-1.06284,-0.12504,,
198,10-03-2024 15:39:16.160,-0.07252,-1.07284,-0.12504,,
198,10-03-2024 15:39:16.200,-0.13754,-1.11286,-0.13754,,
198,10-03-2024 15:39:16.240,-0.18756,-1.04784,-0.17256,,
198,10-03-2024 15:39:16.280,-0.18756,-1.01783,-0.12504,,
198,10-03-2024 15:39:16.320,-0.16755,-1.04283,-0.12504,,
198,10-03-2024 15:39:16.360,-0.17005,-1.00032,-0.05752,,
198,10-03-2024 15:39:16.400,-0.22507,-0.97531,0.08753,,
198,10-03-2024 15:39:16.440,-0.18756,-0.9378,0.15255,,
198,10-03-2024 15:39:16.480,-0.18756,-0.90779,0.21757,,
198,10-03-2024 15:39:16.520,-0.18756,-0.87528,0.3151,,
198,10-03-2024 15:39:16.560,-0.15255,-0.84027,0.34011,,
198,10-03-2024 15:39:16.600,-0.16255,-0.81276,0.35011,,
198,10-03-2024 15:39:16.640,-0.22757,-0.77275,0.37512,,
198,10-03-2024 15:39:16.680,-0.16505,-0.79275,0.37512,,
198,10-03-2024 15:39:16.720,-0.17005,-0.81276,0.37512,,
198,10-03-2024 15:39:16.760,-0.14004,-0.90779,0.28009,,
198,10-03-2024 15:39:16.800,-0.22507,-0.98782,0.15005,,
198,10-03-2024 15:39:16.840,-0.35511,-1.00032,0.07252,,
198,10-03-2024 15:39:16.880,-0.3201,-1.00032,0.0075,,
198,10-03-2024 15:39:16.920,-0.37012,-0.9428,-0.05752,,
198,10-03-2024 15:39:16.960,-0.3126,-0.9378,-0.12504,,
198,10-03-2024 15:39:17.000,-0.37512,-0.9378,-0.12504,8.65,0.65
198,10-03-2024 15:39:17.040,-0.37512,-0.9378,-0.12504,,
198,10-03-2024 15:39:17.080,-0.43764,-0.9378,-0.12504,,
198,10-03-2024 15:39:17.120,-0.43764,-0.9378,-0.12504,,
198,10-03-2024 15:39:17.160,-0.50016,-0.87528,-0.12504,,
198,10-03-2024 15:39:17.200,-0.50016,-0.87528,0,,
198,10-03-2024 15:39:17.240,-0.50016,-0.87528,0.12504,,
198,10-03-2024 15:39:17.280,-0.43764,-0.81276,0.18756,,
198,10-03-2024 15:39:17.320,-0.43764,-0.75024,0.25008,,
198,10-03-2024 15:39:17.360,-0.43764,-0.75024,0.25008,,
198,10-03-2024 15:39:17.400,-0.43764,-0.75024,0.3126,,
198,10-03-2024 15:39:17.440,-0.43764,-0.68772,0.3126,,
198,10-03-2024 15:39:17.480,-0.43764,-0.68772,0.3126,,
198,10-03-2024 15:39:17.520,-0.43764,-0.75024,0.3126,,
198,10-03-2024 15:39:17.560,-0.43764,-0.75024,0.25008,,
198,10-03-2024 15:39:17.600,-0.43764,-0.81276,0.18756,,
198,10-03-2024 15:39:17.640,-0.50016,-0.87528,0.06252,,
198,10-03-2024 15:39:17.680,-0.56268,-0.87528,0.06252,,
198,10-03-2024 15:39:17.720,-0.56268,-0.87528,-0.12504,,
198,10-03-2024 15:39:17.760,-0.56268,-0.81276,-0.12504,,
198,10-03-2024 15:39:17.800,-0.6252,-0.81276,-0.12504,,
198,10-03-2024 15:39:17.840,-0.56268,-0.81276,-0.12504,,
198,10-03-2024 15:39:17.880,-0.56268,-0.87528,-0.12504,,
198,10-03-2024 15:39:17.920,-0.6252,-0.81276,-0.12504,,
198,10-03-2024 15:39:17.960,-0.6252,-0.75024,-0.12504,,
198,10-03-2024 15:39:18.000,-0.6252,-0.75024,-0.12504,8.93,1.28
198,10-03-2024 15:39:18.040,-0.6277,-0.74524,-0.12004,,
198,10-03-2024 15:39:18.080,-0.68772,-0.6302,0,,
198,10-03-2024 15:39:18.120,-0.68022,-0.68772,0.015,,
198,10-03-2024 15:39:18.160,-0.6252,-0.67772,0.12504,,
198,10-03-2024 15:39:18.200,-0.6377,-0.6252,0.13754,,
198,10-03-2024 15:39:18.240,-0.68772,-0.6102,0.18756,,
198,10-03-2024 15:39:18.280,-0.67021,-0.56268,0.20507,,
198,10-03-2024 15:39:18.320,-0.64521,-0.56268,0.25008,,
198,10-03-2024 15:39:18.360,-0.66521,-0.56268,0.22757,,
198,10-03-2024 15:39:18.400,-0.65021,-0.56268,0.18756,,
198,10-03-2024 15:39:18.440,-0.68772,-0.56268,0.18756,,
198,10-03-2024 15:39:18.480,-0.68772,-0.56268,0.15755,,
198,10-03-2024 15:39:18.520,-0.68772,-0.56268,0.12504,,
198,10-03-2024 15:39:18.560,-0.68772,-0.59769,0.12504,,
198,10-03-2024 15:39:18.600,-0.68772,-0.6252,0.12504,,
198,10-03-2024 15:39:18.640,-0.72773,-0.6252,0.005,,
198,10-03-2024 15:39:18.680,-0.75024,-0.6252,-0.10503,,
198,10-03-2024 15:39:18.720,-0.75024,-0.6252,-0.12504,,
198,10-03-2024 15:39:18.760,-0.79776,-0.6252,-0.17256,,
198,10-03-2024 15:39:18.800,-0.81276,-0.6252,-0.18756,,
198,10-03-2024 15:39:18.840,-0.81276,-0.6252,-0.18756,,
198,10-03-2024 15:39:18.880,-0.81276,-0.6252,-0.13254,,
198,10-03-2024 15:39:18.920,-0.75524,-0.56768,-0.12504,,
198,10-03-2024 15:39:18.960,-0.81276,-0.56268,-0.12504,,
198,10-03-2024 15:39:19.000,-0.81276,-0.56268,0,9.17,2.08
198,10-03-2024 15:39:19.040,-0.81276,-0.56268,0,,
198,10-03-2024 15:39:19.080,-0.75024,-0.56268,0.12504,,
198,10-03-2024 15:39:19.120,-0.75024,-0.50016,0.12504,,
198,10-03-2024 15:39:19.160,-0.75024,-0.50016,0.12504,,
198,10-03-2024 15:39:19.200,-0.75024,-0.56268,0.12504,,
198,10-03-2024 15:39:19.240,-0.75024,-0.56268,0.12504,,
198,10-03-2024 15:39:19.280,-0.75024,-0.50016,0.12504,,
198,10-03-2024 15:39:19.320,-0.75024,-0.50016,0.12504,,
198,10-03-2024 15:39:19.360,-0.75024,-0.56268,0.06252,,
198,10-03-2024 15:39:19.400,-0.68772,-0.56268,0,,
198,10-03-2024 15:39:19.440,-0.75024,-0.6252,-0.12504,,
198,10-03-2024 15:39:19.480,-0.81276,-0.68772,-0.18756,,
198,10-03-2024 15:39:19.520,-0.81276,-0.6252,-0.25008,,
198,10-03-2024 15:39:19.560,-0.81276,-0.6252,-0.25008,,
198,10-03-2024 15:39:19.600,-0.75024,-0.6252,-0.25008,,
198,10-03-2024 15:39:19.640,-0.81276,-0.6252,-0.25008,,
198,10-03-2024 15:39:19.680,-0.75024,-0.68772,-0.25008,,
198,10-03-2024 15:39:19.720,-0.75024,-0.68772,-0.25008,,
198,10-03-2024 15:39:19.760,-0.81276,-0.56268,-0.18756,,
